"","UniProt_ID","Reactome_ID","Pathway_Description"
"787","P17936","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"788","P17936","R-HSA-6803211","TP53 Regulates Transcription of Death Receptors and Ligands"
"789","P17936","R-HSA-8957275","Post-translational protein phosphorylation"
"790","P18031","R-HSA-354192","Integrin alphaIIb beta3 signaling"
"791","P18031","R-HSA-6807004","Negative regulation of MET activity"
"792","P18031","R-HSA-877312","Regulation of IFNG signaling"
"793","P18031","R-HSA-8849472","PTK6 Down-Regulation"
"794","P18031","R-HSA-9022699","MECP2 regulates neuronal receptors and channels"
"795","P18031","R-HSA-912694","Regulation of IFNA signaling"
"796","P18031","R-HSA-982772","Growth hormone receptor signaling"
"797","P18065","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"798","P19320","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"799","P19320","R-HSA-216083","Integrin cell surface interactions"
"800","P19320","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"801","P19320","R-HSA-877300","Interferon gamma signaling"
"802","P19438","R-HSA-5357786","TNFR1-induced proapoptotic signaling"
"803","P19438","R-HSA-5357905","Regulation of TNFR1 signaling"
"804","P19438","R-HSA-5357956","TNFR1-induced NFkappaB signaling pathway"
"805","P19438","R-HSA-5626978","TNFR1-mediated ceramide production"
"806","P19438","R-HSA-5669034","TNFs bind their physiological receptors"
"807","P19438","R-HSA-6783783","Interleukin-10 signaling"
"808","P19438","R-HSA-75893","TNF signaling"
"809","P19801","R-HSA-211945","Phase I - Functionalization of compounds"
"810","P19801","R-HSA-6798695","Neutrophil degranulation"
"811","P19957","R-HSA-6803157","Antimicrobial peptides"
"812","P19957","R-HSA-6809371","Formation of the cornified envelope"
"813","P20023","R-HSA-977606","Regulation of Complement cascade"
"814","P20062","R-HSA-196741","Cobalamin (Cbl, vitamin B12) transport and metabolism"
"815","P20062","R-HSA-3359454","Defective TCN2 causes hereditary megaloblastic anemia"
"816","P20062","R-HSA-3359485","Defective CD320 causes methylmalonic aciduria"
"817","P20138","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"818","P20138","R-HSA-6798695","Neutrophil degranulation"
"819","P20160","R-HSA-6798695","Neutrophil degranulation"
"820","P20333","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"821","P20333","R-HSA-5669034","TNFs bind their physiological receptors"
"822","P20333","R-HSA-6783783","Interleukin-10 signaling"
"823","P20333","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"824","P20333","R-HSA-6798695","Neutrophil degranulation"
"825","P20718","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins"
"826","P20718","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"827","P20783","R-HSA-9025046","NTF3 activates NTRK2 (TRKB) signaling"
"828","P20783","R-HSA-9034013","NTF3 activates NTRK3 signaling"
"829","P20783","R-HSA-9034015","Signaling by NTRK3 (TRKC)"
"830","P20783","R-HSA-9034793","Activated NTRK3 signals through PLCG1"
"831","P20783","R-HSA-9034864","Activated NTRK3 signals through RAS"
"832","P20783","R-HSA-9603381","Activated NTRK3 signals through PI3K"
"833","P21583","R-HSA-1257604","PIP3 activates AKT signaling [P21583-1]"
"834","P21583","R-HSA-1433557","Signaling by SCF-KIT [P21583-1]"
"835","P21583","R-HSA-1433559","Regulation of KIT signaling [P21583-1]"
"836","P21583","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer [P21583-1]"
"837","P21583","R-HSA-5673001","RAF/MAP kinase cascade [P21583-1]"
"838","P21583","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling [P21583-1]"
"839","P21802","R-HSA-109704","PI3K Cascade"
"840","P21802","R-HSA-1257604","PIP3 activates AKT signaling"
"841","P21802","R-HSA-190375","FGFR2c ligand binding and activation"
"842","P21802","R-HSA-190377","FGFR2b ligand binding and activation"
"843","P21802","R-HSA-2023837","Signaling by FGFR2 amplification mutants [P21802-17]"
"844","P21802","R-HSA-2033519","Activated point mutants of FGFR2"
"845","P21802","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"846","P21802","R-HSA-5654221","Phospholipase C-mediated cascade, FGFR2"
"847","P21802","R-HSA-5654695","PI-3K cascade:FGFR2"
"848","P21802","R-HSA-5654699","SHC-mediated cascade:FGFR2"
"849","P21802","R-HSA-5654700","FRS-mediated FGFR2 signaling"
"850","P21802","R-HSA-5654727","Negative regulation of FGFR2 signaling"
"851","P21802","R-HSA-5655253","Signaling by FGFR2 in disease"
"852","P21802","R-HSA-5673001","RAF/MAP kinase cascade"
"853","P21802","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"854","P21802","R-HSA-8851708","Signaling by FGFR2 IIIa TM"
"855","P21802","R-HSA-8853333","Signaling by FGFR2 fusions"
"856","P22105","R-HSA-3000178","ECM proteoglycans"
"857","P22301","R-HSA-6783783","Interleukin-10 signaling"
"858","P22301","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"859","P22301","R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation"
"860","P22748","R-HSA-1237044","Erythrocytes take up carbon dioxide and release oxygen"
"861","P22748","R-HSA-1247673","Erythrocytes take up oxygen and release carbon dioxide"
"862","P22748","R-HSA-1475029","Reversible hydration of carbon dioxide"
"863","P22749","R-HSA-6803157","Antimicrobial peptides"
"864","P23141","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins"
"865","P23141","R-HSA-211945","Phase I - Functionalization of compounds"
"866","P23443","R-HSA-166208","mTORC1-mediated signalling"
"867","P23588","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression"
"868","P23588","R-HSA-166208","mTORC1-mediated signalling"
"869","P23588","R-HSA-429947","Deadenylation of mRNA"
"870","P23588","R-HSA-72649","Translation initiation complex formation"
"871","P23588","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"
"872","P23588","R-HSA-72702","Ribosomal scanning and start codon recognition"
"873","P23588","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit"
"874","P24001","R-HSA-449836","Other interleukin signaling"
"875","P24071","R-HSA-6798695","Neutrophil degranulation"
"876","P24158","R-HSA-140875","Common Pathway of Fibrin Clot Formation"
"877","P24158","R-HSA-449836","Other interleukin signaling"
"878","P24158","R-HSA-6798695","Neutrophil degranulation"
"879","P24158","R-HSA-6803157","Antimicrobial peptides"
"880","P24592","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"881","P24821","R-HSA-216083","Integrin cell surface interactions"
"882","P24821","R-HSA-3000170","Syndecan interactions"
"883","P24821","R-HSA-3000178","ECM proteoglycans"
"884","P24821","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"885","P24821","R-HSA-8957275","Post-translational protein phosphorylation"
"886","P25445","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand"
"887","P25445","R-HSA-3371378","Regulation by c-FLIP"
"888","P25445","R-HSA-5213460","RIPK1-mediated regulated necrosis"
"889","P25445","R-HSA-5218900","CASP8 activity is inhibited"
"890","P25445","R-HSA-6803211","TP53 Regulates Transcription of Death Receptors and Ligands"
"891","P25445","R-HSA-69416","Dimerization of procaspase-8"
"892","P25445","R-HSA-75157","FasL/ CD95L signaling"
"893","P25942","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell [P25942-1]"
"894","P25942","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway [P25942-1]"
"895","P25942","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway [P25942-1]"
"896","P26842","R-HSA-5669034","TNFs bind their physiological receptors"
"897","P26951","R-HSA-512988","Interleukin-3, Interleukin-5 and GM-CSF signaling"
"898","P26951","R-HSA-5673001","RAF/MAP kinase cascade"
"899","P26951","R-HSA-912526","Interleukin receptor SHC signaling"
"900","P27487","R-HSA-381771","Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"
"901","P27487","R-HSA-400511","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"
"902","P27930","R-HSA-6783783","Interleukin-10 signaling"
"903","P27930","R-HSA-9020702","Interleukin-1 signaling"
"904","P28799","R-HSA-6798695","Neutrophil degranulation"
"905","P29218","R-HSA-1855183","Synthesis of IP2, IP, and Ins in the cytosol"
"906","P29459","R-HSA-6783783","Interleukin-10 signaling"
"907","P29459","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"908","P29459","R-HSA-8984722","Interleukin-35 Signalling"
"909","P29459","R-HSA-9020591","Interleukin-12 signaling"
"910","P29460","R-HSA-6783783","Interleukin-10 signaling"
"911","P29460","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"912","P29460","R-HSA-9020591","Interleukin-12 signaling"
"913","P29460","R-HSA-9020933","Interleukin-23 signaling"
"914","P29474","R-HSA-1222556","ROS and RNS production in phagocytes"
"915","P29474","R-HSA-1474151","Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"
"916","P29474","R-HSA-203615","eNOS activation"
"917","P29474","R-HSA-203641","NOSTRIN mediated eNOS trafficking"
"918","P29474","R-HSA-203754","NOSIP mediated eNOS trafficking"
"919","P29474","R-HSA-392154","Nitric oxide stimulates guanylate cyclase"
"920","P29474","R-HSA-5218920","VEGFR2 mediated vascular permeability"
"921","P29474","R-HSA-9009391","Extra-nuclear estrogen signaling"
"922","P29965","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"923","P29965","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"924","P29965","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"925","P30519","R-HSA-189483","Heme degradation"
"926","P30519","R-HSA-6798695","Neutrophil degranulation"
"927","P30519","R-HSA-917937","Iron uptake and transport"
"928","P30530","R-HSA-4420097","VEGFA-VEGFR2 Pathway"
"929","P32456","R-HSA-877300","Interferon gamma signaling"
"930","P32456","R-HSA-909733","Interferon alpha/beta signaling"
"931","P32926","R-HSA-351906","Apoptotic cleavage of cell adhesion proteins"
"932","P32926","R-HSA-6805567","Keratinization"
"933","P32926","R-HSA-6809371","Formation of the cornified envelope"
"934","P32942","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"935","P32942","R-HSA-216083","Integrin cell surface interactions"
"936","P32942","R-HSA-5621575","CD209 (DC-SIGN) signaling"
"937","P32970","R-HSA-5669034","TNFs bind their physiological receptors"
"938","P33151","R-HSA-418990","Adherens junctions interactions"
"939","P33151","R-HSA-5218920","VEGFR2 mediated vascular permeability"
"940","P35225","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"941","P35225","R-HSA-9012546","Interleukin-18 signaling"
"942","P35247","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade"
"943","P35247","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade"
"944","P35247","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"945","P35247","R-HSA-391160","Signal regulatory protein family interactions"
"946","P35247","R-HSA-5683826","Surfactant metabolism"
"947","P35247","R-HSA-5686938","Regulation of TLR by endogenous ligand"
"948","P35247","R-HSA-5688849","Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)"
"949","P35247","R-HSA-5688890","Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)"
"950","P35443","R-HSA-186797","Signaling by PDGF"
"951","P35968","R-HSA-194306","Neurophilin interactions with VEGF and VEGFR"
"952","P35968","R-HSA-195399","VEGF binds to VEGFR leading to receptor dimerization"
"953","P35968","R-HSA-216083","Integrin cell surface interactions"
"954","P35968","R-HSA-4420097","VEGFA-VEGFR2 Pathway"
"955","P35968","R-HSA-5218921","VEGFR2 mediated cell proliferation"
"956","P36222","R-HSA-6798695","Neutrophil degranulation"
"957","P36269","R-HSA-174403","Glutathione synthesis and recycling"
"958","P36269","R-HSA-2142691","Synthesis of Leukotrienes (LT) and Eoxins (EX)"
"959","P36269","R-HSA-5423646","Aflatoxin activation and detoxification"
"960","P36941","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"961","P36941","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"962","P37108","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane"
"963","P37108","R-HSA-6798695","Neutrophil degranulation"
"964","P39060","R-HSA-1442490","Collagen degradation"
"965","P39060","R-HSA-1592389","Activation of Matrix Metalloproteinases"
"966","P39060","R-HSA-1650814","Collagen biosynthesis and modifying enzymes"
"967","P39060","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures"
"968","P39060","R-HSA-216083","Integrin cell surface interactions"
"969","P39060","R-HSA-3000157","Laminin interactions"
"970","P39060","R-HSA-8948216","Collagen chain trimerization"
"971","P39900","R-HSA-1442490","Collagen degradation"
"972","P39900","R-HSA-1474228","Degradation of the extracellular matrix"
"973","P39905","R-HSA-419037","NCAM1 interactions"
"974","P39905","R-HSA-5673001","RAF/MAP kinase cascade"
"975","P39905","R-HSA-8853659","RET signaling"
"976","P40198","R-HSA-202733","Cell surface interactions at the vascular wall"
"977","P40198","R-HSA-6798695","Neutrophil degranulation"
"978","P40933","R-HSA-8983432","Interleukin-15 signaling"
"979","P41208","R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition"
"980","P41208","R-HSA-3108214","SUMOylation of DNA damage response and repair proteins"
"981","P41208","R-HSA-380259","Loss of Nlp from mitotic centrosomes"
"982","P41208","R-HSA-380270","Recruitment of mitotic centrosome proteins and complexes"
"983","P41208","R-HSA-380284","Loss of proteins required for interphase microtubule organization from the centrosome"
"984","P41208","R-HSA-380320","Recruitment of NuMA to mitotic centrosomes"
"985","P41208","R-HSA-5620912","Anchoring of the basal body to the plasma membrane"
"986","P41208","R-HSA-5696394","DNA Damage Recognition in GG-NER"
"987","P41208","R-HSA-5696395","Formation of Incision Complex in GG-NER"
"988","P41208","R-HSA-8854518","AURKA Activation by TPX2"
"989","P42574","R-HSA-111459","Activation of caspases through apoptosome-mediated cleavage"
"990","P42574","R-HSA-111463","SMAC (DIABLO) binds to IAPs"
"991","P42574","R-HSA-111464","SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes"
"992","P42574","R-HSA-111465","Apoptotic cleavage of cellular proteins"
"993","P42574","R-HSA-111469","SMAC, XIAP-regulated apoptotic response"
"994","P42574","R-HSA-140342","Apoptosis induced DNA fragmentation"
"995","P42574","R-HSA-1474228","Degradation of the extracellular matrix"
"996","P42574","R-HSA-2028269","Signaling by Hippo"
"997","P42574","R-HSA-205025","NADE modulates death signalling"
"998","P42574","R-HSA-211736","Stimulation of the cell death response by PAK-2p34"
"999","P42574","R-HSA-264870","Caspase-mediated cleavage of cytoskeletal proteins"
"1000","P42574","R-HSA-351906","Apoptotic cleavage of cell adhesion proteins"
"1001","P42574","R-HSA-418889","Caspase activation via Dependence Receptors in the absence of ligand"
"1002","P42574","R-HSA-449836","Other interleukin signaling"
"1003","P42701","R-HSA-9020591","Interleukin-12 signaling"
"1004","P42701","R-HSA-9020933","Interleukin-23 signaling"
"1005","P42702","R-HSA-6788467","IL-6-type cytokine receptor ligand interactions"
"1006","P42702","R-HSA-8939247","RUNX1 regulates transcription of genes involved in interleukin signaling"
"1007","P42785","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation"
"1008","P42785","R-HSA-6798695","Neutrophil degranulation"
"1009","P42830","R-HSA-380108","Chemokine receptors bind chemokines"
"1010","P42830","R-HSA-418594","G alpha (i) signalling events"
"1011","P42892","R-HSA-375276","Peptide ligand-binding receptors"
"1012","P43489","R-HSA-5669034","TNFs bind their physiological receptors"
"1013","P43628","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"1014","P46531","R-HSA-1912399","Pre-NOTCH Processing in the Endoplasmic Reticulum"
"1015","P46531","R-HSA-1912408","Pre-NOTCH Transcription and Translation"
"1016","P46531","R-HSA-1912420","Pre-NOTCH Processing in Golgi"
"1017","P46531","R-HSA-210744","Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells"
"1018","P46531","R-HSA-2122947","NOTCH1 Intracellular Domain Regulates Transcription"
"1019","P46531","R-HSA-2122948","Activated NOTCH1 Transmits Signal to the Nucleus"
"1020","P46531","R-HSA-2644606","Constitutive Signaling by NOTCH1 PEST Domain Mutants"
"1021","P46531","R-HSA-2644607","Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"
"1022","P46531","R-HSA-2660826","Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant"
"1023","P46531","R-HSA-2691232","Constitutive Signaling by NOTCH1 HD Domain Mutants"
"1024","P46531","R-HSA-2894862","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"
"1025","P46531","R-HSA-350054","Notch-HLH transcription pathway"
"1026","P46531","R-HSA-5083630","Defective LFNG causes SCDO3"
"1027","P46531","R-HSA-8941856","RUNX3 regulates NOTCH signaling"
"1028","P46531","R-HSA-9013508","NOTCH3 Intracellular Domain Regulates Transcription"
"1029","P46531","R-HSA-9013695","NOTCH4 Intracellular Domain Regulates Transcription"
"1030","P48023","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand"
"1031","P48023","R-HSA-3371378","Regulation by c-FLIP"
"1032","P48023","R-HSA-5213460","RIPK1-mediated regulated necrosis"
"1033","P48023","R-HSA-5218900","CASP8 activity is inhibited"
"1034","P48023","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"1035","P48023","R-HSA-69416","Dimerization of procaspase-8"
"1036","P48023","R-HSA-75157","FasL/ CD95L signaling"
"1037","P48023","R-HSA-8862803","Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models"
"1038","P48023","R-HSA-9614657","FOXO-mediated transcription of cell death genes"
"1039","P48061","R-HSA-1251985","Nuclear signaling by ERBB4"
"1040","P48061","R-HSA-376176","Signaling by ROBO receptors"
"1041","P48061","R-HSA-380108","Chemokine receptors bind chemokines"
"1042","P48061","R-HSA-418594","G alpha (i) signalling events"
"1043","P48061","R-HSA-9018519","Estrogen-dependent gene expression"
"1044","P48357","R-HSA-2586552","Signaling by Leptin [P48357-1]"
"1045","P49747","R-HSA-216083","Integrin cell surface interactions"
"1046","P49747","R-HSA-3000178","ECM proteoglycans"
"1047","P49763","R-HSA-194313","VEGF ligand-receptor interactions"
"1048","P49763","R-HSA-195399","VEGF binds to VEGFR leading to receptor dimerization"
"1049","P49767","R-HSA-114608","Platelet degranulation"
"1050","P49767","R-HSA-194313","VEGF ligand-receptor interactions"
"1051","P49767","R-HSA-195399","VEGF binds to VEGFR leading to receptor dimerization"
"1052","P49771","R-HSA-109704","PI3K Cascade"
"1053","P49771","R-HSA-5673001","RAF/MAP kinase cascade"
"1054","P49771","R-HSA-9607240","FLT3 Signaling"
"1055","P49771","R-HSA-9645135","STAT5 Activation"
"1056","P50225","R-HSA-156584","Cytosolic sulfonation of small molecules"
"1057","P50591","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand"
"1058","P50591","R-HSA-3371378","Regulation by c-FLIP"
"1059","P50591","R-HSA-5213460","RIPK1-mediated regulated necrosis"
"1060","P50591","R-HSA-5218900","CASP8 activity is inhibited"
"1061","P50591","R-HSA-69416","Dimerization of procaspase-8"
"1062","P50591","R-HSA-75158","TRAIL signaling"
"1063","P51452","R-HSA-202670","ERKs are inactivated"
"1064","P51671","R-HSA-380108","Chemokine receptors bind chemokines"
"1065","P51671","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"1066","P54760","R-HSA-2682334","EPH-Ephrin signaling"
"1067","P54760","R-HSA-3928662","EPHB-mediated forward signaling"
"1068","P54760","R-HSA-3928664","Ephrin signaling"
"1069","P54760","R-HSA-3928665","EPH-ephrin mediated repulsion of cells"
"1070","P55058","R-HSA-8964058","HDL remodeling"
"1071","P55058","R-HSA-9029569","NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux"
"1072","P55291","R-HSA-418990","Adherens junctions interactions"
"1073","P55291","R-HSA-525793","Myogenesis"
"1074","P55773","R-HSA-416476","G alpha (q) signalling events [P55773-2]"
"1075","P55773","R-HSA-418594","G alpha (i) signalling events [P55773-2]"
"1076","P55773","R-HSA-444473","Formyl peptide receptors bind formyl peptides and many other ligands [P55773-2]"
"1077","P59665","R-HSA-1461973","Defensins"
"1078","P59665","R-HSA-1462054","Alpha-defensins"
"1079","P59665","R-HSA-6798695","Neutrophil degranulation"
"1080","P60568","R-HSA-5673001","RAF/MAP kinase cascade"
"1081","P60568","R-HSA-8877330","RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)"
"1082","P60568","R-HSA-9020558","Interleukin-2 signaling"
"1083","P60568","R-HSA-912526","Interleukin receptor SHC signaling"
"1084","P63098","R-HSA-111447","Activation of BAD and translocation to mitochondria"
"1085","P63098","R-HSA-180024","DARPP-32 events"
"1086","P63098","R-HSA-2025928","Calcineurin activates NFAT"
"1087","P63098","R-HSA-2871809","FCERI mediated Ca+2 mobilization"
"1088","P63098","R-HSA-4086398","Ca2+ pathway"
"1089","P63098","R-HSA-5607763","CLEC7A (Dectin-1) induces NFAT activation"
"1090","P78324","R-HSA-202733","Cell surface interactions at the vascular wall"
"1091","P78324","R-HSA-391160","Signal regulatory protein family interactions"
"1092","P78324","R-HSA-6798695","Neutrophil degranulation"
"1093","P78423","R-HSA-380108","Chemokine receptors bind chemokines"
"1094","P78423","R-HSA-418594","G alpha (i) signalling events"
"1095","P78556","R-HSA-380108","Chemokine receptors bind chemokines"
"1096","P78556","R-HSA-418594","G alpha (i) signalling events"
"1097","P78556","R-HSA-6783783","Interleukin-10 signaling"
"1098","P78560","R-HSA-6803207","TP53 Regulates Transcription of Caspase Activators and Caspases"
"1099","P80098","R-HSA-380108","Chemokine receptors bind chemokines"
"1100","P80162","R-HSA-380108","Chemokine receptors bind chemokines"
"1101","P80162","R-HSA-418594","G alpha (i) signalling events"
"1102","P80188","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling"
"1103","P80188","R-HSA-6798695","Neutrophil degranulation"
"1104","P80188","R-HSA-6799990","Metal sequestration by antimicrobial proteins"
"1105","P80188","R-HSA-917937","Iron uptake and transport"
"1106","P80370","R-HSA-2122948","Activated NOTCH1 Transmits Signal to the Nucleus"
"1107","P80511","R-HSA-445989","TAK1 activates NFkB by phosphorylation and activation of IKKs complex"
"1108","P80511","R-HSA-6798695","Neutrophil degranulation"
"1109","P80511","R-HSA-879415","Advanced glycosylation endproduct receptor signaling"
"1110","P80511","R-HSA-933542","TRAF6 mediated NF-kB activation"
"1111","P98160","R-HSA-1474228","Degradation of the extracellular matrix"
"1112","P98160","R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis"
"1113","P98160","R-HSA-2022928","HS-GAG biosynthesis"
"1114","P98160","R-HSA-2024096","HS-GAG degradation"
"1115","P98160","R-HSA-216083","Integrin cell surface interactions"
"1116","P98160","R-HSA-3000157","Laminin interactions"
"1117","P98160","R-HSA-3000171","Non-integrin membrane-ECM interactions"
"1118","P98160","R-HSA-3000178","ECM proteoglycans"
"1119","P98160","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type"
"1120","P98160","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD"
"1121","P98160","R-HSA-3656237","Defective EXT2 causes exostoses 2"
"1122","P98160","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS"
"1123","P98160","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1"
"1124","P98160","R-HSA-975634","Retinoid metabolism and transport"
"1125","P98160","R-HSA-977225","Amyloid fiber formation"
"1126","Q01638","R-HSA-1257604","PIP3 activates AKT signaling"
"1127","Q01638","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"1128","Q01638","R-HSA-9014843","Interleukin-33 signaling [Q01638-2]"
"1129","Q02763","R-HSA-210993","Tie2 Signaling"
"1130","Q02763","R-HSA-5673001","RAF/MAP kinase cascade"
"1131","Q03393","R-HSA-1474151","Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"
"1132","Q03405","R-HSA-162791","Attachment of GPI anchor to uPAR"
"1133","Q03405","R-HSA-6798695","Neutrophil degranulation"
"1134","Q03405","R-HSA-75205","Dissolution of Fibrin Clot"
"1135","Q06141","R-HSA-6803157","Antimicrobial peptides"
"1136","Q06323","R-HSA-1169091","Activation of NF-kappaB in B cells"
"1137","Q06323","R-HSA-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"
"1138","Q06323","R-HSA-1236974","ER-Phagosome pathway"
"1139","Q06323","R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)"
"1140","Q06323","R-HSA-174084","Autodegradation of Cdh1 by Cdh1:APC/C"
"1141","Q06323","R-HSA-174113","SCF-beta-TrCP mediated degradation of Emi1"
"1142","Q06323","R-HSA-174154","APC/C:Cdc20 mediated degradation of Securin"
"1143","Q06323","R-HSA-174178","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"
"1144","Q06323","R-HSA-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A"
"1145","Q06323","R-HSA-180534","Vpu mediated degradation of CD4"
"1146","Q06323","R-HSA-180585","Vif-mediated degradation of APOBEC3G"
"1147","Q06323","R-HSA-187577","SCF(Skp2)-mediated degradation of p27/p21"
"1148","Q06323","R-HSA-195253","Degradation of beta-catenin by the destruction complex"
"1149","Q06323","R-HSA-202424","Downstream TCR signaling"
"1150","Q06323","R-HSA-211733","Regulation of activated PAK-2p34 by proteasome mediated degradation"
"1151","Q06323","R-HSA-2467813","Separation of Sister Chromatids"
"1152","Q06323","R-HSA-2871837","FCERI mediated NF-kB activation"
"1153","Q06323","R-HSA-349425","Autodegradation of the E3 ubiquitin ligase COP1"
"1154","Q06323","R-HSA-350562","Regulation of ornithine decarboxylase (ODC)"
"1155","Q06323","R-HSA-382556","ABC-family proteins mediated transport"
"1156","Q06323","R-HSA-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA"
"1157","Q06323","R-HSA-4608870","Asymmetric localization of PCP proteins"
"1158","Q06323","R-HSA-4641257","Degradation of AXIN"
"1159","Q06323","R-HSA-4641258","Degradation of DVL"
"1160","Q06323","R-HSA-5358346","Hedgehog ligand biogenesis"
"1161","Q06323","R-HSA-5362768","Hh mutants that don't undergo autocatalytic processing are degraded by ERAD"
"1162","Q06323","R-HSA-5607761","Dectin-1 mediated noncanonical NF-kB signaling"
"1163","Q06323","R-HSA-5607764","CLEC7A (Dectin-1) signaling"
"1164","Q06323","R-HSA-5610780","Degradation of GLI1 by the proteasome"
"1165","Q06323","R-HSA-5610783","Degradation of GLI2 by the proteasome"
"1166","Q06323","R-HSA-5610785","GLI3 is processed to GLI3R by the proteasome"
"1167","Q06323","R-HSA-5632684","Hedgehog 'on' state"
"1168","Q06323","R-HSA-5658442","Regulation of RAS by GAPs"
"1169","Q06323","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
